('duke', 'assassin'), ('duke', 'assassin'), 1
('captain', 'contessa'), ('duke', 'assassin'), 1
('captain', 'contessa'), ('duke', 'captain'), 2
('captain', 'contessa'), ('duke', 'contessa'), 1
('captain', 'contessa'), ('assassin', 'ambassador'), 1
('captain', 'contessa'), ('assassin', 'captain'), 1
('captain', 'contessa'), ('assassin', 'contessa'), 1
('captain', 'contessa'), ('ambassador', 'captain'), 1
('captain', 'contessa'), ('ambassador', 'contessa'), 1
('captain', 'contessa'), ('captain', 'contessa'), 1
('captain', 'contessa'), ('duke', 'duke'), 1
('captain', 'contessa'), ('assassin', 'assassin'), 1
('duke', 'duke'), ('duke', 'assassin'), 2
('captain', 'contessa'), ('ambassador', 'ambassador'), 1
('captain', 'contessa'), ('captain', 'captain'), 1
('duke', 'duke'), ('duke', 'ambassador'), 1
('captain', 'contessa'), ('contessa', 'contessa'), 1
('duke', 'duke'), ('assassin', 'ambassador'), 2
('duke', 'duke'), ('duke', 'contessa'), 1
('duke', 'duke'), ('duke', 'captain'), 2
('duke', 'duke'), ('assassin', 'contessa'), 2
('duke', 'duke'), ('assassin', 'captain'), 2
('duke', 'duke'), ('ambassador', 'contessa'), 1
('duke', 'duke'), ('ambassador', 'captain'), 2
('duke', 'duke'), ('assassin', 'assassin'), 2
('duke', 'duke'), ('duke', 'duke'), 1
('duke', 'duke'), ('captain', 'contessa'), 2
('duke', 'duke'), ('ambassador', 'ambassador'), 1
('assassin', 'assassin'), ('duke', 'assassin'), 1
('duke', 'duke'), ('contessa', 'contessa'), 1
('assassin', 'assassin'), ('duke', 'ambassador'), 1
('duke', 'duke'), ('captain', 'captain'), 2
('assassin', 'assassin'), ('assassin', 'ambassador'), 1
('assassin', 'assassin'), ('duke', 'contessa'), 2
('assassin', 'assassin'), ('assassin', 'contessa'), 2
('assassin', 'assassin'), ('duke', 'captain'), 2
('assassin', 'assassin'), ('assassin', 'captain'), 2
('assassin', 'assassin'), ('duke', 'duke'), 1
('assassin', 'assassin'), ('assassin', 'assassin'), 1
('assassin', 'assassin'), ('ambassador', 'captain'), 2
('assassin', 'assassin'), ('ambassador', 'contessa'), 1
('assassin', 'assassin'), ('ambassador', 'ambassador'), 1
('assassin', 'assassin'), ('captain', 'contessa'), 2
('ambassador', 'ambassador'), ('duke', 'assassin'), 2
('assassin', 'assassin'), ('captain', 'captain'), 2
('assassin', 'assassin'), ('contessa', 'contessa'), 1
('ambassador', 'ambassador'), ('duke', 'ambassador'), 2
('ambassador', 'ambassador'), ('duke', 'captain'), 2
('ambassador', 'ambassador'), ('duke', 'contessa'), 2
('ambassador', 'ambassador'), ('assassin', 'ambassador'), 2
('ambassador', 'ambassador'), ('assassin', 'captain'), 2
('ambassador', 'ambassador'), ('assassin', 'contessa'), 2
('ambassador', 'ambassador'), ('ambassador', 'captain'), 1
('ambassador', 'ambassador'), ('assassin', 'assassin'), 2
('ambassador', 'ambassador'), ('ambassador', 'contessa'), 1
('ambassador', 'ambassador'), ('duke', 'duke'), 2
('ambassador', 'ambassador'), ('captain', 'contessa'), 1
('ambassador', 'ambassador'), ('ambassador', 'ambassador'), 1
('ambassador', 'ambassador'), ('captain', 'captain'), 1
('ambassador', 'ambassador'), ('contessa', 'contessa'), 1
('captain', 'captain'), ('duke', 'assassin'), 2
('captain', 'captain'), ('duke', 'ambassador'), 2
('captain', 'captain'), ('duke', 'captain'), 2
('captain', 'captain'), ('assassin', 'ambassador'), 2
('captain', 'captain'), ('duke', 'contessa'), 1
('captain', 'captain'), ('assassin', 'captain'), 2
('captain', 'captain'), ('assassin', 'contessa'), 1
('captain', 'captain'), ('ambassador', 'captain'), 1
('captain', 'captain'), ('ambassador', 'contessa'), 1
('captain', 'captain'), ('captain', 'contessa'), 1
('captain', 'captain'), ('duke', 'duke'), 1
('captain', 'captain'), ('assassin', 'assassin'), 1
('captain', 'captain'), ('ambassador', 'ambassador'), 1
('captain', 'captain'), ('captain', 'captain'), 1
('contessa', 'contessa'), ('duke', 'assassin'), 2
('captain', 'captain'), ('contessa', 'contessa'), 1
('contessa', 'contessa'), ('duke', 'ambassador'), 2
('contessa', 'contessa'), ('duke', 'contessa'), 2
('contessa', 'contessa'), ('duke', 'captain'), 2
('contessa', 'contessa'), ('assassin', 'ambassador'), 1
('contessa', 'contessa'), ('assassin', 'captain'), 2
('contessa', 'contessa'), ('assassin', 'contessa'), 1
('contessa', 'contessa'), ('ambassador', 'captain'), 2
('contessa', 'contessa'), ('ambassador', 'contessa'), 1
('contessa', 'contessa'), ('captain', 'contessa'), 2
('contessa', 'contessa'), ('duke', 'duke'), 2
('contessa', 'contessa'), ('assassin', 'assassin'), 1
('contessa', 'contessa'), ('ambassador', 'ambassador'), 1
('contessa', 'contessa'), ('captain', 'captain'), 2
('contessa', 'contessa'), ('contessa', 'contessa'), 1
